
192.168.54.1|October 31, 2013, 3:18 pm|Clicked vote button without choosing an item
192.168.54.1|October 31, 2013, 3:18 pm|Enters Poll
UNKNOWN|October 31, 2013, 7:58 pm|Enters Poll
UNKNOWN|October 31, 2013, 7:59 pm|Vote received on Fiat
UNKNOWN|October 31, 2013, 7:59 pm|Clicked vote button without choosing an item
UNKNOWN|October 31, 2013, 7:59 pm|Enters Poll
UNKNOWN|October 31, 2013, 8:00 pm|Clicked vote button without choosing an item
UNKNOWN|October 31, 2013, 8:00 pm|Enters Poll
UNKNOWN|October 31, 2013, 8:00 pm|Clicked vote button without choosing an item
UNKNOWN|October 31, 2013, 8:00 pm|Enters Poll
UNKNOWN|October 31, 2013, 8:00 pm|Clicked vote button without choosing an item
UNKNOWN|October 31, 2013, 8:00 pm|Enters Poll
UNKNOWN|October 31, 2013, 8:00 pm|Clicked vote button without choosing an item
UNKNOWN|October 31, 2013, 8:00 pm|Enters Poll
UNKNOWN|October 31, 2013, 8:01 pm|Clicked vote button without choosing an item
UNKNOWN|October 31, 2013, 8:01 pm|Enters Poll
UNKNOWN|October 31, 2013, 8:01 pm|Vote received on Bugatti Veyron
UNKNOWN|October 31, 2013, 8:01 pm|Clicked vote button without choosing an item
UNKNOWN|October 31, 2013, 8:01 pm|Enters Poll
UNKNOWN|October 31, 2013, 8:01 pm|Clicked vote button without choosing an item
UNKNOWN|October 31, 2013, 8:01 pm|Enters Poll
UNKNOWN|October 31, 2013, 8:05 pm|Clicked vote button without choosing an item
UNKNOWN|October 31, 2013, 8:05 pm|Enters Poll
89.106.117.219|August 27, 2014, 2:12 pm|Enters admincenter
89.106.117.219|August 27, 2014, 2:13 pm|New poll was created with question: Who gallerys you like?
89.106.117.219|August 27, 2014, 2:14 pm|Enters admincenter
89.106.117.219|August 27, 2014, 2:16 pm|New poll was created with question: Please select a gallery that you like
89.106.117.219|August 27, 2014, 11:17 am|Enters Poll
89.106.117.219|August 27, 2014, 11:38 am|Enters Poll
89.106.117.219|August 27, 2014, 11:42 am|Clicked vote button without choosing an item
89.106.117.219|August 27, 2014, 11:42 am|Enters Poll
89.106.117.219|August 27, 2014, 11:45 am|Clicked vote button without choosing an item
89.106.117.219|August 27, 2014, 11:45 am|Enters Poll
89.106.117.219|August 27, 2014, 11:45 am|Vote received on Gallery - 1
89.106.117.219|August 27, 2014, 11:45 am|Views results
89.106.117.219|August 27, 2014, 11:45 am|Views results
89.106.117.219|August 27, 2014, 11:46 am|Views results
89.106.117.219|August 27, 2014, 11:46 am|Views results
89.106.117.219|August 27, 2014, 11:46 am|Views results
89.106.117.219|August 27, 2014, 11:46 am|Views results
89.106.117.219|August 27, 2014, 11:46 am|Views results
89.106.117.219|August 27, 2014, 11:46 am|Views results
89.106.117.219|August 27, 2014, 11:46 am|Views results
89.106.117.219|August 27, 2014, 11:46 am|Views results
89.106.117.219|August 27, 2014, 11:46 am|Views results
89.106.117.219|August 27, 2014, 11:47 am|Views results
89.106.117.219|August 27, 2014, 11:47 am|Views results
89.106.117.219|August 27, 2014, 11:47 am|Views results
89.106.117.219|August 27, 2014, 11:48 am|Views results
89.106.117.219|August 27, 2014, 11:49 am|Views results
89.106.117.219|August 27, 2014, 11:49 am|Views results
89.106.117.219|August 27, 2014, 11:49 am|Views results
89.106.117.219|August 27, 2014, 11:59 am|Enters Poll
89.106.117.219|August 27, 2014, 11:59 am|Vote received on Gallery - 2
89.106.117.219|August 27, 2014, 12:01 pm|Views results
89.106.117.219|August 27, 2014, 12:02 pm|Views results
89.106.117.219|August 27, 2014, 12:02 pm|Views results
89.106.117.219|August 27, 2014, 12:03 pm|Views results
83.228.27.17|August 27, 2014, 12:04 pm|Enters Poll
83.228.27.17|August 27, 2014, 12:04 pm|Vote received on Gallery - 3
83.228.27.17|August 27, 2014, 12:05 pm|Views results
